config,seed,study,kind,input,cell_policy,digit_policy,backtrack,n_eval,correct,wrong,timeouts,accuracy,model_calls_total,calls_per_solve,avg_resets,avg_puzzle_calls,seq_forwards_p50,seq_forwards_p90,unsound_rate,conflict_precision,conflict_recall,n_negations,unsound_negation_rate,conflict_depth_mean
s2_trainP0_evalPstar,range,S2,eval,base_1k,uniform,argmax,root,200,"[197, 198]","[0, 2]","[1, 2]","[0.985, 0.99]","[1915, 2379]","[9.67172, 12.0761]","[338.58, 448.61]","[66.58, 88.065]","[948, 1443]","[8964.5, 16296.9]","[0.0393021, 0.0455023]","[0.995965, 0.996574]","[0.0940819, 0.0941152]",0,"[0, 0]","[0, 0]"
s2_trainPstar_evalP0,0,S2,eval,train_pstar_1k,uniform,softmax,root,200,177,2,21,0.885,7025,39.68926553672316,1703.33,267.39,6403.0,64000.0,0.02792523823672819,0.9994980420705324,0.11708040842922549,0,0.0,0.0
s2_trainPstar_evalP0,1,S2,eval,train_pstar_1k,uniform,softmax,root,200,178,0,22,0.89,7794,43.78651685393258,1945.865,290.295,7055.0,64000.0,0.020947078573667864,0.9989978749810495,0.12355520216205634,0,0.0,0.0
s2_trainPstar_evalP0,mean,S2,eval,train_pstar_1k,uniform,softmax,root,200,177.5,1.0,21.5,0.8875,7409.5,41.737891195327876,1824.5974999999999,278.8425,6729.0,64000.0,0.024436158405198027,0.999247958525791,0.12031780529564091,0,0.0,0.0
s2_trainPstar_evalP0,range,S2,eval,train_pstar_1k,uniform,softmax,root,200,"[177, 178]","[0, 2]","[21, 22]","[0.885, 0.89]","[7025, 7794]","[39.6893, 43.7865]","[1703.33, 1945.87]","[267.39, 290.295]","[6403, 7055]","[64000, 64000]","[0.0209471, 0.0279252]","[0.998998, 0.999498]","[0.11708, 0.123555]",0,"[0, 0]","[0, 0]"
s2_trainPstar_evalPstar,0,S2,eval,train_pstar_1k,uniform,argmax,root,200,200,0,0,1.0,2552,12.76,461.73,96.43,1367.5,16910.199999999997,0.04822815420679897,0.9991336928508002,0.08745990338896936,0,0.0,0.0
s2_trainPstar_evalPstar,1,S2,eval,train_pstar_1k,uniform,argmax,root,200,199,0,1,0.995,1796,9.025125628140703,308.435,63.225,825.0,7603.899999999999,0.040473316814731757,0.9976818454455558,0.09050188962251665,0,0.0,0.0
s2_trainPstar_evalPstar,mean,S2,eval,train_pstar_1k,uniform,argmax,root,200,199.5,0.0,0.5,0.9975,2174.0,10.892562814070352,385.0825,79.8275,1096.25,12257.049999999997,0.04435073551076536,0.9984077691481781,0.088980896505743,0,0.0,0.0
s2_trainPstar_evalPstar,range,S2,eval,train_pstar_1k,uniform,argmax,root,200,"[199, 200]","[0, 0]","[0, 1]","[0.995, 1]","[1796, 2552]","[9.02513, 12.76]","[308.435, 461.73]","[63.225, 96.43]","[825, 1367.5]","[7603.9, 16910.2]","[0.0404733, 0.0482282]","[0.997682, 0.999134]","[0.0874599, 0.0905019]",0,"[0, 0]","[0, 0]"
s3_baseline_root,0,S3,eval,baseline,uniform,softmax,root,200,199,0,1,0.995,2126,10.683417085427136,681.815,81.565,1716.0,11195.399999999998,0.008679285685419784,0.9980346574950683,0.16326880719416864,0,0.0,0.0
s3_baseline_root,1,S3,eval,baseline,uniform,softmax,root,200,199,0,1,0.995,2073,10.417085427135678,694.29,71.65,945.0,11137.8,0.0079372327178351,0.9965936424260755,0.19755879938613083,0,0.0,0.0
s3_baseline_root,mean,S3,eval,baseline,uniform,softmax,root,200,199.0,0.0,1.0,0.995,2099.5,10.550251256281406,688.0525,76.6075,1330.5,11166.599999999999,0.008308259201627442,0.9973141499605719,0.18041380329014972,0,0.0,0.0
s3_baseline_root,range,S3,eval,baseline,uniform,softmax,root,200,"[199, 199]","[0, 0]","[1, 1]","[0.995, 0.995]","[2073, 2126]","[10.4171, 10.6834]","[681.815, 694.29]","[71.65, 81.565]","[945, 1716]","[11137.8, 11195.4]","[0.00793723, 0.00867929]","[0.996594, 0.998035]","[0.163269, 0.197559]",0,"[0, 0]","[0, 0]"
s3_baseline_last,0,S3,eval,baseline,uniform,softmax,last,179,122,4,53,0.6815642458100558,10313,84.5327868852459,13471.424581005587,441.49162011173183,940.0,64000.0,0.18160639895344965,0.9999046191296703,0.49346886516006316,0,0.0,9.711704269538046
s3_baseline_last,1,S3,eval,baseline,uniform,softmax,last,200,166,0,34,0.83,8843,53.2710843373494,10115.24,331.065,545.0,64000.0,0.16490084436349298,0.9998932304127238,0.49244833610211447,0,0.0,8.767934819144182
s3_baseline_last,mean,S3,eval,baseline,uniform,softmax,last,179,144.0,2.0,43.5,0.7557821229050279,9578.0,68.90193561129765,11793.332290502793,386.2783100558659,742.5,64000.0,0.1732536216584713,0.9998989247711971,0.4929586006310888,0,0.0,9.239819544341113
s3_baseline_last,range,S3,eval,baseline,uniform,softmax,last,179,"[122, 166]","[0, 4]","[34, 53]","[0.681564, 0.83]","[8843, 10313]","[53.2711, 84.5328]","[10115.2, 13471.4]","[331.065, 441.492]","[545, 940]","[64000, 64000]","[0.164901, 0.181606]","[0.999893, 0.999905]","[0.492448, 0.493469]",0,"[0, 0]","[8.76793, 9.7117]"
s3_baseline_geom05,0,S3,eval,baseline,uniform,softmax,geometric,200,199,0,1,0.995,5740,28.844221105527637,4463.785,221.215,1889.5,8889.1,0.14622069076755578,0.999442177434621,0.33407617496466446,0,0.0,8.358724714563985
s3_baseline_geom05,1,S3,eval,baseline,uniform,softmax,geometric,200,200,0,0,1.0,4588,22.94,3567.655,179.05,1198.0,5178.7,0.13117596025514755,0.9990722197073427,0.33977304899636523,0,0.0,7.25765664000583
s3_baseline_geom05,mean,S3,eval,baseline,uniform,softmax,geometric,200,199.5,0.0,0.5,0.9975,5164.0,25.892110552763818,4015.7200000000003,200.1325,1543.75,7033.9,0.13869832551135167,0.9992571985709819,0.3369246119805148,0,0.0,7.808190677284908
s3_baseline_geom05,range,S3,eval,baseline,uniform,softmax,geometric,200,"[199, 200]","[0, 0]","[0, 1]","[0.995, 1]","[4588, 5740]","[22.94, 28.8442]","[3567.66, 4463.78]","[179.05, 221.215]","[1198, 1889.5]","[5178.7, 8889.1]","[0.131176, 0.146221]","[0.999072, 0.999442]","[0.334076, 0.339773]",0,"[0, 0]","[7.25766, 8.35872]"
s3_baseline_unifdepth,0,S3,eval,baseline,uniform,softmax,uniform_depth,200,200,0,0,1.0,3145,15.725,1508.19,122.11,1183.0,7120.999999999999,0.09397662203006038,0.9984783084359398,0.21541451231174055,0,0.0,6.770725173883927
s3_baseline_unifdepth,1,S3,eval,baseline,uniform,softmax,uniform_depth,200,199,0,1,0.995,2727,13.703517587939698,1448.255,106.335,1113.0,5793.6,0.08504819665588116,0.9975418693531181,0.2424393710684436,0,0.0,5.830530535023183
s3_baseline_unifdepth,mean,S3,eval,baseline,uniform,softmax,uniform_depth,200,199.5,0.0,0.5,0.9975,2936.0,14.714258793969849,1478.2225,114.2225,1148.0,6457.299999999999,0.08951240934297078,0.9980100888945289,0.2289269416900921,0,0.0,6.300627854453555
s3_baseline_unifdepth,range,S3,eval,baseline,uniform,softmax,uniform_depth,200,"[199, 200]","[0, 0]","[0, 1]","[0.995, 1]","[2727, 3145]","[13.7035, 15.725]","[1448.26, 1508.19]","[106.335, 122.11]","[1113, 1183]","[5793.6, 7121]","[0.0850482, 0.0939766]","[0.997542, 0.998478]","[0.215415, 0.242439]",0,"[0, 0]","[5.83053, 6.77073]"
s3_baseline_lastneg,0,S3,eval,baseline,uniform,softmax,last+negate,200,195,0,5,0.975,6286,32.235897435897435,6945.555,231.32,2204.5,7870.099999999999,0.13278942546284217,0.9997408414446362,0.4939788863527471,1388672,0.31336197460595444,6.651487174171106
s3_baseline_lastneg,1,S3,eval,baseline,uniform,softmax,last+negate,200,200,0,0,1.0,4518,22.59,5197.105,178.735,1813.5,5594.599999999999,0.12255906446452547,0.9995747632576213,0.49473494242102173,1038950,0.31165407382453436,5.777970620181812
s3_baseline_lastneg,mean,S3,eval,baseline,uniform,softmax,last+negate,200,197.5,0.0,2.5,0.9875,5402.0,27.412948717948716,6071.33,205.0275,2009.0,6732.349999999999,0.12767424496368382,0.9996578023511287,0.49435691438688445,1388672,0.3125080242152444,6.214728897176459
s3_baseline_lastneg,range,S3,eval,baseline,uniform,softmax,last+negate,200,"[195, 200]","[0, 0]","[0, 5]","[0.975, 1]","[4518, 6286]","[22.59, 32.2359]","[5197.1, 6945.56]","[178.735, 231.32]","[1813.5, 2204.5]","[5594.6, 7870.1]","[0.122559, 0.132789]","[0.999575, 0.999741]","[0.493979, 0.494735]",1388672,"[0.311654, 0.313362]","[5.77797, 6.65149]"
s3_base_1k_root,0,S3,eval,base_1k,uniform,softmax,root,200,152,0,48,0.76,10903,71.73026315789474,3522.77,421.765,17765.5,64000.0,0.015002861444719972,0.9945327114742092,0.1596272474071752,0,0.0,0.0
s3_base_1k_root,1,S3,eval,base_1k,uniform,softmax,root,200,173,1,26,0.865,7777,44.95375722543353,2485.755,299.045,8159.5,64000.0,0.019383414617266264,0.9949492206593168,0.1590361120390504,0,0.0,0.0
s3_base_1k_root,mean,S3,eval,base_1k,uniform,softmax,root,200,162.5,0.5,37.0,0.8125,9340.0,58.34201019166413,3004.2625,360.405,12962.5,64000.0,0.017193138030993118,0.994740966066763,0.1593316797231128,0,0.0,0.0
s3_base_1k_root,range,S3,eval,base_1k,uniform,softmax,root,200,"[152, 173]","[0, 1]","[26, 48]","[0.76, 0.865]","[7777, 10903]","[44.9538, 71.7303]","[2485.76, 3522.77]","[299.045, 421.765]","[8159.5, 17765.5]","[64000, 64000]","[0.0150029, 0.0193834]","[0.994533, 0.994949]","[0.159036, 0.159627]",0,"[0, 0]","[0, 0]"
s3_base_1k_last,0,S3,eval,base_1k,uniform,softmax,last,118,61,2,55,0.5169491525423728,9536,156.327868852459,18973.43220338983,617.2627118644068,64000.0,64000.0,0.21590926825536472,0.9999338950762998,0.4951691131127801,0,0.0,9.81380699595554
s3_base_1k_last,1,S3,eval,base_1k,uniform,softmax,last,133,75,4,54,0.5639097744360902,9727,129.69333333333333,17024.977443609023,555.6616541353384,3802.0,64000.0,0.22327247747075935,0.9999355215380145,0.494877736014179,0,0.0,9.644143368301858
s3_base_1k_last,mean,S3,eval,base_1k,uniform,softmax,last,118,68.0,3.0,54.5,0.5404294634892315,9631.5,143.01060109289617,17999.20482349943,586.4621829998725,33901.0,64000.0,0.21959087286306203,0.9999347083071571,0.4950234245634796,0,0.0,9.7289751821287
s3_base_1k_last,range,S3,eval,base_1k,uniform,softmax,last,118,"[61, 75]","[2, 4]","[54, 55]","[0.516949, 0.56391]","[9536, 9727]","[129.693, 156.328]","[17025, 18973.4]","[555.662, 617.263]","[3802, 64000]","[64000, 64000]","[0.215909, 0.223272]","[0.999934, 0.999936]","[0.494878, 0.495169]",0,"[0, 0]","[9.64414, 9.81381]"
s3_base_1k_geom05,0,S3,eval,base_1k,uniform,softmax,geometric,200,184,0,16,0.92,9929,53.96195652173913,7877.64,385.14,3232.5,64000.0,0.19533687333664412,0.9995683986574659,0.3337661055040058,0,0.0,9.449955189625319
s3_base_1k_geom05,1,S3,eval,base_1k,uniform,softmax,geometric,200,189,0,11,0.945,8635,45.68783068783069,6993.32,340.865,3352.5,21994.799999999992,0.20465227723816976,0.9996439459369798,0.333118983931419,0,0.0,9.319953898863487
s3_base_1k_geom05,mean,S3,eval,base_1k,uniform,softmax,geometric,200,186.5,0.0,13.5,0.9325,9282.0,49.82489360478491,7435.48,363.0025,3292.5,42997.399999999994,0.19999457528740694,0.9996061722972229,0.3334425447177124,0,0.0,9.384954544244403
s3_base_1k_geom05,range,S3,eval,base_1k,uniform,softmax,geometric,200,"[184, 189]","[0, 0]","[11, 16]","[0.92, 0.945]","[8635, 9929]","[45.6878, 53.962]","[6993.32, 7877.64]","[340.865, 385.14]","[3232.5, 3352.5]","[21994.8, 64000]","[0.195337, 0.204652]","[0.999568, 0.999644]","[0.333119, 0.333766]",0,"[0, 0]","[9.31995, 9.44996]"
s3_base_1k_unifdepth,0,S3,eval,base_1k,uniform,softmax,uniform_depth,200,176,0,24,0.88,9410,53.46590909090909,4219.725,356.245,6704.5,64000.0,0.16410005101427513,0.9978363518949694,0.19930381324132257,0,0.0,7.584212241319043
s3_base_1k_unifdepth,1,S3,eval,base_1k,uniform,softmax,uniform_depth,200,187,0,13,0.935,7332,39.20855614973262,3350.855,283.675,4170.5,43664.69999999997,0.1713464830910648,0.9979154573981864,0.19891697867627026,0,0.0,7.538350659756987
s3_base_1k_unifdepth,mean,S3,eval,base_1k,uniform,softmax,uniform_depth,200,181.5,0.0,18.5,0.9075,8371.0,46.33723262032086,3785.29,319.96000000000004,5437.5,53832.349999999984,0.16772326705266996,0.9978759046465779,0.19911039595879643,0,0.0,7.561281450538015
s3_base_1k_unifdepth,range,S3,eval,base_1k,uniform,softmax,uniform_depth,200,"[176, 187]","[0, 0]","[13, 24]","[0.88, 0.935]","[7332, 9410]","[39.2086, 53.4659]","[3350.86, 4219.73]","[283.675, 356.245]","[4170.5, 6704.5]","[43664.7, 64000]","[0.1641, 0.171346]","[0.997836, 0.997915]","[0.198917, 0.199304]",0,"[0, 0]","[7.53835, 7.58421]"
s3_base_1k_lastneg,0,S3,eval,base_1k,uniform,softmax,last+negate,200,163,1,36,0.815,11383,69.83435582822086,13345.405,440.105,3958.5,64000.0,0.1939047680886846,0.9998561302560695,0.49538611183557774,2668497,0.3097234135919958,8.146354494299723
s3_base_1k_lastneg,1,S3,eval,base_1k,uniform,softmax,last+negate,200,175,1,24,0.875,10924,62.42285714285714,12680.185,417.44,3363.0,64000.0,0.2058626810947514,0.999894717624388,0.4951709617596098,2535431,0.3049485472095277,8.061562587612089
s3_base_1k_lastneg,mean,S3,eval,base_1k,uniform,softmax,last+negate,200,169.0,1.0,30.0,0.845,11153.5,66.128606485539,13012.795,428.77250000000004,3660.75,64000.0,0.199883724591718,0.9998754239402288,0.49527853679759376,2668497,0.3073359804007617,8.103958540955906
s3_base_1k_lastneg,range,S3,eval,base_1k,uniform,softmax,last+negate,200,"[163, 175]","[1, 1]","[24, 36]","[0.815, 0.875]","[10924, 11383]","[62.4229, 69.8344]","[12680.2, 13345.4]","[417.44, 440.105]","[3363, 3958.5]","[64000, 64000]","[0.193905, 0.205863]","[0.999856, 0.999895]","[0.495171, 0.495386]",2668497,"[0.304949, 0.309723]","[8.06156, 8.14635]"
s4_1k_p0_root,0,S4,eval,base_1k,uniform,softmax,root,190,136,0,54,0.7157894736842105,10906,80.19117647058823,3640.057894736842,435.7421052631579,16821.0,64000.0,0.015041858379094023,0.9945055818950248,0.15943092553526605,0,0.0,0.0
s4_1k_p0_root,1,S4,eval,base_1k,uniform,softmax,root,200,175,0,25,0.875,7949,45.42285714285714,2458.27,294.93,8183.5,64000.0,0.01942586670334988,0.9944737559340512,0.1596475807173116,0,0.0,0.0
s4_1k_p0_root,mean,S4,eval,base_1k,uniform,softmax,root,190,155.5,0.0,39.5,0.7953947368421053,9427.5,62.807016806722686,3049.163947368421,365.3360526315789,12502.25,64000.0,0.017233862541221952,0.9944896689145379,0.15953925312628883,0,0.0,0.0
s4_1k_p0_root,range,S4,eval,base_1k,uniform,softmax,root,190,"[136, 175]","[0, 0]","[25, 54]","[0.715789, 0.875]","[7949, 10906]","[45.4229, 80.1912]","[2458.27, 3640.06]","[294.93, 435.742]","[8183.5, 16821]","[64000, 64000]","[0.0150419, 0.0194259]","[0.994474, 0.994506]","[0.159431, 0.159648]",0,"[0, 0]","[0, 0]"
s4_1k_pstar_root,0,S4,eval,base_1k,uniform,argmax,root,200,199,0,1,0.995,2203,11.07035175879397,404.605,79.43,1585.5,14094.899999999996,0.03937208683247905,0.9963915423684828,0.09385068442126827,0,0.0,0.0
s4_1k_pstar_root,1,S4,eval,base_1k,uniform,argmax,root,200,199,0,1,0.995,2065,10.376884422110553,393.485,76.195,1278.0,11855.899999999994,0.04579017711106887,0.9968105518634763,0.095381106161119,0,0.0,0.0
s4_1k_pstar_root,mean,S4,eval,base_1k,uniform,argmax,root,200,199.0,0.0,1.0,0.995,2134.0,10.723618090452263,399.045,77.8125,1431.75,12975.399999999994,0.04258113197177396,0.9966010471159796,0.09461589529119363,0,0.0,0.0
s4_1k_pstar_root,range,S4,eval,base_1k,uniform,argmax,root,200,"[199, 199]","[0, 0]","[1, 1]","[0.995, 0.995]","[2065, 2203]","[10.3769, 11.0704]","[393.485, 404.605]","[76.195, 79.43]","[1278, 1585.5]","[11855.9, 14094.9]","[0.0393721, 0.0457902]","[0.996392, 0.996811]","[0.0938507, 0.0953811]",0,"[0, 0]","[0, 0]"
s4_1k_pstar_geom,0,S4,eval,base_1k,uniform,argmax,geometric,200,190,0,10,0.95,8239,43.363157894736844,6177.465,308.915,2670.0,15088.899999999998,0.20923386184545364,0.9997474692288827,0.327718363760244,0,0.0,11.510631788282087
s4_1k_pstar_geom,1,S4,eval,base_1k,uniform,argmax,geometric,200,192,2,6,0.96,7420,38.645833333333336,5630.905,283.275,3204.5,14427.199999999997,0.2137632012800875,0.9998108652161597,0.3278432107885028,0,0.0,11.086351128282221
s4_1k_pstar_geom,mean,S4,eval,base_1k,uniform,argmax,geometric,200,191.0,1.0,8.0,0.955,7829.5,41.00449561403509,5904.1849999999995,296.095,2937.25,14758.049999999997,0.21149853156277057,0.9997791672225211,0.32778078727437343,0,0.0,11.298491458282154
s4_1k_pstar_geom,range,S4,eval,base_1k,uniform,argmax,geometric,200,"[190, 192]","[0, 2]","[6, 10]","[0.95, 0.96]","[7420, 8239]","[38.6458, 43.3632]","[5630.9, 6177.47]","[283.275, 308.915]","[2670, 3204.5]","[14427.2, 15088.9]","[0.209234, 0.213763]","[0.999747, 0.999811]","[0.327718, 0.327843]",0,"[0, 0]","[11.0864, 11.5106]"
s4_1k_p0_geom,0,S4,eval,base_1k,uniform,softmax,geometric,200,186,1,13,0.93,10311,55.435483870967744,7900.495,384.03,2925.0,64000.0,0.1954788449864935,0.9995728115769962,0.33337618146330794,0,0.0,9.505298718624593
s4_1k_p0_geom,1,S4,eval,base_1k,uniform,softmax,geometric,200,184,0,16,0.92,9357,50.85326086956522,7443.875,361.63,4065.5,64000.0,0.20593904014032033,0.9996393007674095,0.3331126367378805,0,0.0,9.324624607479304
s4_1k_p0_geom,mean,S4,eval,base_1k,uniform,softmax,geometric,200,185.0,0.5,14.5,0.925,9834.0,53.14437237026648,7672.1849999999995,372.83,3495.25,64000.0,0.20070894256340693,0.9996060561722029,0.3332444091005942,0,0.0,9.414961663051947
s4_1k_p0_geom,range,S4,eval,base_1k,uniform,softmax,geometric,200,"[184, 186]","[0, 1]","[13, 16]","[0.92, 0.93]","[9357, 10311]","[50.8533, 55.4355]","[7443.88, 7900.49]","[361.63, 384.03]","[2925, 4065.5]","[64000, 64000]","[0.195479, 0.205939]","[0.999573, 0.999639]","[0.333113, 0.333376]",0,"[0, 0]","[9.32462, 9.5053]"
s4_2k_p0_root,0,S4,eval,baseline,uniform,softmax,root,200,199,0,1,0.995,2512,12.623115577889447,722.75,86.17,1717.5,13826.099999999995,0.009071712453250428,0.9982635766170875,0.1630421641483276,0,0.0,0.0
s4_2k_p0_root,1,S4,eval,baseline,uniform,softmax,root,200,200,0,0,1.0,1678,8.39,620.65,63.885,1141.0,9600.899999999998,0.008066228487050247,0.9960928059292677,0.19840722221865634,0,0.0,0.0
s4_2k_p0_root,mean,S4,eval,baseline,uniform,softmax,root,200,199.5,0.0,0.5,0.9975,2095.0,10.506557788944724,671.7,75.0275,1429.25,11713.499999999996,0.008568970470150337,0.9971781912731776,0.18072469318349196,0,0.0,0.0
s4_2k_p0_root,range,S4,eval,baseline,uniform,softmax,root,200,"[199, 200]","[0, 0]","[0, 1]","[0.995, 1]","[1678, 2512]","[8.39, 12.6231]","[620.65, 722.75]","[63.885, 86.17]","[1141, 1717.5]","[9600.9, 13826.1]","[0.00806623, 0.00907171]","[0.996093, 0.998264]","[0.163042, 0.198407]",0,"[0, 0]","[0, 0]"
s4_2k_pstar_root,0,S4,eval,baseline,uniform,argmax,root,200,200,0,0,1.0,870,4.35,177.265,33.32,444.0,3668.2999999999997,0.01864919770566435,0.996079316277889,0.10243008220163476,0,0.0,0.0
s4_2k_pstar_root,1,S4,eval,baseline,uniform,argmax,root,200,200,0,0,1.0,707,3.535,157.555,26.235,318.0,2697.6,0.0161723444733453,0.9960013963377868,0.1207821495643607,0,0.0,0.0
s4_2k_pstar_root,mean,S4,eval,baseline,uniform,argmax,root,200,200.0,0.0,0.0,1.0,788.5,3.9425,167.41,29.7775,381.0,3182.95,0.017410771089504826,0.9960403563078379,0.11160611588299774,0,0.0,0.0
s4_2k_pstar_root,range,S4,eval,baseline,uniform,argmax,root,200,"[200, 200]","[0, 0]","[0, 0]","[1, 1]","[707, 870]","[3.535, 4.35]","[157.555, 177.265]","[26.235, 33.32]","[318, 444]","[2697.6, 3668.3]","[0.0161723, 0.0186492]","[0.996001, 0.996079]","[0.10243, 0.120782]",0,"[0, 0]","[0, 0]"
s4_2k_pstar_geom,0,S4,eval,baseline,uniform,argmax,geometric,200,198,0,2,0.99,5501,27.782828282828284,4232.945,214.92,1501.5,7203.699999999998,0.1724439309847461,0.9995747641417501,0.3264876923142215,0,0.0,10.64302985273846
s4_2k_pstar_geom,1,S4,eval,baseline,uniform,argmax,geometric,200,200,0,0,1.0,4627,23.135,3480.89,180.795,1902.5,5613.4,0.15462076834250393,0.9996035496668956,0.3275767112880191,0,0.0,9.602716546630315
s4_2k_pstar_geom,mean,S4,eval,baseline,uniform,argmax,geometric,200,199.0,0.0,1.0,0.995,5064.0,25.45891414141414,3856.9174999999996,197.8575,1702.0,6408.549999999999,0.163532349663625,0.9995891569043228,0.32703220180112025,0,0.0,10.122873199684388
s4_2k_pstar_geom,range,S4,eval,baseline,uniform,argmax,geometric,200,"[198, 200]","[0, 0]","[0, 2]","[0.99, 1]","[4627, 5501]","[23.135, 27.7828]","[3480.89, 4232.94]","[180.795, 214.92]","[1501.5, 1902.5]","[5613.4, 7203.7]","[0.154621, 0.172444]","[0.999575, 0.999604]","[0.326488, 0.327577]",0,"[0, 0]","[9.60272, 10.643]"
s4_2k_p0_geom,0,S4,eval,baseline,uniform,softmax,geometric,200,197,0,3,0.985,6028,30.598984771573605,4535.045,225.55,2116.0,7228.999999999993,0.14751514743770097,0.9994950435993468,0.33424759255722447,0,0.0,8.315770846816294
s4_2k_p0_geom,1,S4,eval,baseline,uniform,softmax,geometric,200,200,0,0,1.0,4590,22.95,3587.36,180.06,1563.0,5901.399999999998,0.13168613818959385,0.9991079791267116,0.339480298187546,0,0.0,7.303663418223986
s4_2k_p0_geom,mean,S4,eval,baseline,uniform,softmax,geometric,200,198.5,0.0,1.5,0.9924999999999999,5309.0,26.7744923857868,4061.2025000000003,202.805,1839.5,6565.199999999995,0.13960064281364742,0.9993015113630292,0.33686394537238523,0,0.0,7.80971713252014
s4_2k_p0_geom,range,S4,eval,baseline,uniform,softmax,geometric,200,"[197, 200]","[0, 0]","[0, 3]","[0.985, 1]","[4590, 6028]","[22.95, 30.599]","[3587.36, 4535.05]","[180.06, 225.55]","[1563, 2116]","[5901.4, 7229]","[0.131686, 0.147515]","[0.999108, 0.999495]","[0.334248, 0.33948]",0,"[0, 0]","[7.30366, 8.31577]"
