config,seed,study,kind,input,cell_policy,digit_policy,backtrack,n_eval,correct,wrong,timeouts,accuracy,model_calls_total,calls_per_solve,avg_resets,avg_puzzle_calls,seq_forwards_p50,seq_forwards_p90,unsound_rate,conflict_precision,conflict_recall,n_negations,unsound_negation_rate,conflict_depth_mean
s1_baseline_mrv_rankk,range,S1,eval,baseline,mrv,rank_k,root,132,"[69, 78]","[0, 0]","[54, 55]","[0.556452, 0.590909]","[8729, 9764]","[125.179, 126.507]","[7459.94, 7673.82]","[530.847, 556.932]","[31844, 42688]","[64000, 64000]","[0.00183735, 0.00192866]","[0.999294, 0.999517]","[0.300254, 0.312372]",0,"[0, 0]","[0, 0]"
s1_baseline_minent_softmax,0,S1,eval,baseline,min_entropy,softmax,root,200,200,0,0,1.0,2119,10.595,312.715,71.93,1063.5,10215.899999999998,0.012329162319280529,0.9952832451273523,0.09152542871300084,0,0.0,0.0
s1_baseline_minent_softmax,1,S1,eval,baseline,min_entropy,softmax,root,200,199,0,1,0.995,2332,11.71859296482412,328.1,72.77,1184.0,8459.9,0.01365230463438464,0.9964797317890887,0.09836215999927796,0,0.0,0.0
s1_baseline_minent_softmax,mean,S1,eval,baseline,min_entropy,softmax,root,200,199.5,0.0,0.5,0.9975,2225.5,11.15679648241206,320.4075,72.35,1123.75,9337.899999999998,0.012990733476832585,0.9958814884582206,0.0949437943561394,0,0.0,0.0
s1_baseline_minent_softmax,range,S1,eval,baseline,min_entropy,softmax,root,200,"[199, 200]","[0, 0]","[0, 1]","[0.995, 1]","[2119, 2332]","[10.595, 11.7186]","[312.715, 328.1]","[71.93, 72.77]","[1063.5, 1184]","[8459.9, 10215.9]","[0.0123292, 0.0136523]","[0.995283, 0.99648]","[0.0915254, 0.0983622]",0,"[0, 0]","[0, 0]"
s1_baseline_minent_argmax,0,S1,eval,baseline,min_entropy,argmax,root,200,167,0,33,0.835,6987,41.83832335329341,598.285,262.775,1134.5,64000.0,0.03428480273473769,0.997818765304161,0.040545267217204264,0,0.0,0.0
s1_baseline_minent_argmax,1,S1,eval,baseline,min_entropy,argmax,root,200,148,0,52,0.74,8503,57.4527027027027,769.595,324.495,1440.0,64000.0,0.035776070554544084,0.9991878845366718,0.04383400003705229,0,0.0,0.0
s1_baseline_minent_argmax,mean,S1,eval,baseline,min_entropy,argmax,root,200,157.5,0.0,42.5,0.7875,7745.0,49.64551302799806,683.94,293.635,1287.25,64000.0,0.03503043664464089,0.9985033249204165,0.04218963362712828,0,0.0,0.0
s1_baseline_minent_argmax,range,S1,eval,baseline,min_entropy,argmax,root,200,"[148, 167]","[0, 0]","[33, 52]","[0.74, 0.835]","[6987, 8503]","[41.8383, 57.4527]","[598.285, 769.595]","[262.775, 324.495]","[1134.5, 1440]","[64000, 64000]","[0.0342848, 0.0357761]","[0.997819, 0.999188]","[0.0405453, 0.043834]",0,"[0, 0]","[0, 0]"
s1_baseline_minent_rankk,0,S1,eval,baseline,min_entropy,rank_k,root,105,49,0,56,0.4666666666666667,8239,168.14285714285714,9323.533333333333,590.9333333333333,64000.0,64000.0,0.0011280212256650128,0.9997762957227538,0.33486117530814863,0,0.0,0.0
s1_baseline_minent_rankk,1,S1,eval,baseline,min_entropy,rank_k,root,103,48,0,55,0.46601941747572817,8060,167.91666666666666,9407.47572815534,595.6990291262136,64000.0,64000.0,0.0008748741518907474,0.9989638482099549,0.33921478131267413,0,0.0,0.0
s1_baseline_minent_rankk,mean,S1,eval,baseline,min_entropy,rank_k,root,105,48.5,0.0,55.5,0.4663430420711974,8149.5,168.0297619047619,9365.504530744336,593.3161812297735,64000.0,64000.0,0.0010014476887778801,0.9993700719663543,0.3370379783104114,0,0.0,0.0
s1_baseline_minent_rankk,range,S1,eval,baseline,min_entropy,rank_k,root,105,"[48, 49]","[0, 0]","[55, 56]","[0.466019, 0.466667]","[8060, 8239]","[167.917, 168.143]","[9323.53, 9407.48]","[590.933, 595.699]","[64000, 64000]","[64000, 64000]","[0.000874874, 0.00112802]","[0.998964, 0.999776]","[0.334861, 0.339215]",0,"[0, 0]","[0, 0]"
s1_baseline_maxent_softmax,0,S1,eval,baseline,max_entropy,softmax,root,200,184,0,16,0.92,5969,32.44021739130435,2574.28,228.815,6564.0,52018.799999999996,0.005733939050877606,0.9982499961154186,0.22115179398207913,0,0.0,0.0
s1_baseline_maxent_softmax,1,S1,eval,baseline,max_entropy,softmax,root,200,179,0,21,0.895,6414,35.832402234636874,3131.235,233.925,5284.5,64000.0,0.004054440730268815,0.994815144823049,0.2772106997100634,0,0.0,0.0
s1_baseline_maxent_softmax,mean,S1,eval,baseline,max_entropy,softmax,root,200,181.5,0.0,18.5,0.9075,6191.5,34.13630981297061,2852.7575,231.37,5924.25,58009.399999999994,0.004894189890573211,0.9965325704692338,0.24918124684607126,0,0.0,0.0
s1_baseline_maxent_softmax,range,S1,eval,baseline,max_entropy,softmax,root,200,"[179, 184]","[0, 0]","[16, 21]","[0.895, 0.92]","[5969, 6414]","[32.4402, 35.8324]","[2574.28, 3131.24]","[228.815, 233.925]","[5284.5, 6564]","[52018.8, 64000]","[0.00405444, 0.00573394]","[0.994815, 0.99825]","[0.221152, 0.277211]",0,"[0, 0]","[0, 0]"
s1_baseline_uniform_argmax,0,S1,eval,baseline,uniform,argmax,root,200,200,0,0,1.0,1057,5.285,167.755,31.25,418.5,3680.399999999999,0.018429751307247513,0.9954099728771124,0.10319277462094878,0,0.0,0.0
s1_baseline_uniform_argmax,1,S1,eval,baseline,uniform,argmax,root,200,200,0,0,1.0,787,3.935,162.84,26.83,371.0,3463.0999999999985,0.01646658427014242,0.9958548268238762,0.12195011900598977,0,0.0,0.0
s1_baseline_uniform_argmax,mean,S1,eval,baseline,uniform,argmax,root,200,200.0,0.0,0.0,1.0,922.0,4.61,165.2975,29.04,394.75,3571.749999999999,0.017448167788694968,0.9956323998504943,0.11257144681346928,0,0.0,0.0
s1_baseline_uniform_argmax,range,S1,eval,baseline,uniform,argmax,root,200,"[200, 200]","[0, 0]","[0, 0]","[1, 1]","[787, 1057]","[3.935, 5.285]","[162.84, 167.755]","[26.83, 31.25]","[371, 418.5]","[3463.1, 3680.4]","[0.0164666, 0.0184298]","[0.99541, 0.995855]","[0.103193, 0.12195]",0,"[0, 0]","[0, 0]"
s1_baseline_uniform_rankk,0,S1,eval,baseline,uniform,rank_k,root,156,102,0,54,0.6538461538461539,10337,101.34313725490196,7946.74358974359,501.72435897435895,30353.0,64000.0,0.0018238637153709292,0.9979099647331756,0.3381259294629047,0,0.0,0.0
s1_baseline_uniform_rankk,1,S1,eval,baseline,uniform,rank_k,root,200,153,0,47,0.765,10528,68.81045751633987,7026.005,398.405,15317.0,64000.0,0.001483316597446549,0.9955152323404267,0.39757792478896864,0,0.0,0.0
s1_baseline_uniform_rankk,mean,S1,eval,baseline,uniform,rank_k,root,156,127.5,0.0,50.5,0.7094230769230769,10432.5,85.07679738562092,7486.374294871795,450.06467948717943,22835.0,64000.0,0.0016535901564087392,0.9967125985368012,0.3678519271259367,0,0.0,0.0
s1_baseline_uniform_rankk,range,S1,eval,baseline,uniform,rank_k,root,156,"[102, 153]","[0, 0]","[47, 54]","[0.653846, 0.765]","[10337, 10528]","[68.8105, 101.343]","[7026.01, 7946.74]","[398.405, 501.724]","[15317, 30353]","[64000, 64000]","[0.00148332, 0.00182386]","[0.995515, 0.99791]","[0.338126, 0.397578]",0,"[0, 0]","[0, 0]"
s1_base_1k_baseline_pol,0,S1,eval,base_1k,uniform,softmax,root,200,160,0,40,0.8,10697,66.85625,3375.61,403.87,14338.0,64000.0,0.015016344962208864,0.9947091044285329,0.1596589947296246,0,0.0,0.0
s1_base_1k_baseline_pol,1,S1,eval,base_1k,uniform,softmax,root,200,173,0,27,0.865,8452,48.85549132947977,2670.115,320.45,9775.0,64000.0,0.019223618115306564,0.9947249463038109,0.1590833405207525,0,0.0,0.0
s1_base_1k_baseline_pol,mean,S1,eval,base_1k,uniform,softmax,root,200,166.5,0.0,33.5,0.8325,9574.5,57.85587066473988,3022.8625,362.15999999999997,12056.5,64000.0,0.017119981538757715,0.9947170253661719,0.15937116762518855,0,0.0,0.0
s1_base_1k_baseline_pol,range,S1,eval,base_1k,uniform,softmax,root,200,"[160, 173]","[0, 0]","[27, 40]","[0.8, 0.865]","[8452, 10697]","[48.8555, 66.8563]","[2670.11, 3375.61]","[320.45, 403.87]","[9775, 14338]","[64000, 64000]","[0.0150163, 0.0192236]","[0.994709, 0.994725]","[0.159083, 0.159659]",0,"[0, 0]","[0, 0]"
s1_base_1k_mrv_softmax,0,S1,eval,base_1k,mrv,softmax,root,200,189,1,10,0.945,4711,24.925925925925927,1036.55,183.02,3118.5,40137.89999999999,0.02207311875319758,0.9949833582557522,0.10863422754991818,0,0.0,0.0
s1_base_1k_mrv_softmax,1,S1,eval,base_1k,mrv,softmax,root,200,198,0,2,0.99,3609,18.227272727272727,643.83,120.41,1996.0,18609.6,0.029464800122978613,0.9948511252970504,0.1035044442846443,0,0.0,0.0
s1_base_1k_mrv_softmax,mean,S1,eval,base_1k,mrv,softmax,root,200,193.5,0.5,6.0,0.9675,4160.0,21.57659932659933,840.19,151.715,2557.25,29373.749999999993,0.025768959438088095,0.9949172417764014,0.10606933591728124,0,0.0,0.0
s1_base_1k_mrv_softmax,range,S1,eval,base_1k,mrv,softmax,root,200,"[189, 198]","[0, 1]","[2, 10]","[0.945, 0.99]","[3609, 4711]","[18.2273, 24.9259]","[643.83, 1036.55]","[120.41, 183.02]","[1996, 3118.5]","[18609.6, 40137.9]","[0.0220731, 0.0294648]","[0.994851, 0.994983]","[0.103504, 0.108634]",0,"[0, 0]","[0, 0]"
s1_base_1k_mrv_argmax,0,S1,eval,base_1k,mrv,argmax,root,200,193,0,7,0.965,4017,20.813471502590673,528.325,142.905,1498.0,28705.299999999992,0.045346423521885,0.9975677849808356,0.066745649356118,0,0.0,0.0
s1_base_1k_mrv_argmax,1,S1,eval,base_1k,mrv,argmax,root,200,186,0,14,0.93,4602,24.741935483870968,646.67,165.75,1238.5,35919.29999999996,0.05027725756131459,0.998221658651244,0.07124634190893443,0,0.0,0.0
s1_base_1k_mrv_argmax,mean,S1,eval,base_1k,mrv,argmax,root,200,189.5,0.0,10.5,0.9475,4309.5,22.77770349323082,587.4975,154.3275,1368.25,32312.299999999974,0.047811840541599794,0.9978947218160399,0.06899599563252622,0,0.0,0.0
