config,seed,study,num_layers,dim,n_loops,steps,supervise,softmax_loss_weight,conflict_loss_weight,bce_pos_mult,bce_neg_mult,approx_params,n_eval,correct,wrong,timeouts,accuracy,model_calls_total,calls_per_solve,avg_rounds_solved,avg_resets,unsound_rate,conflict_precision,conflict_recall,train_post_compile_secs
d1_L2_cm,range,D1-C2,4,128,2,16000,all,0.2,0.1,4.0,0.5,65536,1000,"[946, 959]","[0, 0]","[41, 54]","[0.946, 0.959]","[21534, 26139]","[22.4546, 27.5437]",161.02528381347656,1642.4090576171875,"[0.000816826, 0.00126987]","[0.998337, 0.999446]","[0.149979, 0.157208]","[1344.17, 2217.46]"
d1_L1_cm,0,D1-C2,4,128,1,32000,all,0.2,0.1,4.0,0.5,65536,1000,425,0,575,0.425,85499,201.17411764705884,244.42352294921875,3924.569091796875,0.003385494788069232,0.9998688780364601,0.10481964313139477,2041.3028243679998
d1_L1_cm,1,D1-C2,4,128,1,32000,all,0.2,0.1,4.0,0.5,65536,1000,443,0,557,0.443,82610,186.4785553047404,224.8577880859375,4344.31201171875,0.0025010846006503114,0.999519314805104,0.12261507808805268,2145.572296292
d1_L1_cm,2,D1-C2,4,128,1,32000,all,0.2,0.1,4.0,0.5,65536,108,51,0,57,0.4722222222222222,9246,181.2941176470588,240.5490264892578,453.0270080566406,0.001441464234051987,0.9995810049706042,0.12122502326076474,3544.724005708997
d1_L1_cm,mean,D1-C2,4,128,1,32000,all,0.2,0.1,4.0,0.5,65536,1000,306.3333333333333,0.0,396.3333333333333,0.4467407407407407,59118.333333333336,189.64893019961937,244.42352294921875,3924.569091796875,0.00244268120759051,0.9996563992707227,0.1162199148267374,2577.1997087896657
d1_L1_cm,range,D1-C2,4,128,1,32000,all,0.2,0.1,4.0,0.5,65536,1000,"[51, 443]","[0, 0]","[57, 575]","[0.425, 0.472222]","[9246, 85499]","[181.294, 201.174]",244.42352294921875,3924.569091796875,"[0.00144146, 0.00338549]","[0.999519, 0.999869]","[0.10482, 0.122615]","[2041.3, 3544.72]"
d1_L1_cm4x,0,D1-C2,4,128,1,128000,all,0.2,0.1,4.0,0.5,65536,1000,667,0,333,0.667,56151,84.18440779610195,166.66867065429688,3120.878173828125,0.0019221020319890728,0.9926211795047121,0.12934883717053444,8899.133899294
d1_L1_cm4x,1,D1-C2,4,128,1,128000,all,0.2,0.1,4.0,0.5,65536,1000,576,0,424,0.576,63693,110.578125,140.13368225097656,3712.086181640625,0.0016044306438202749,0.9872202333261523,0.13582276073032357,11788.860930995008
d1_L1_cm4x,mean,D1-C2,4,128,1,128000,all,0.2,0.1,4.0,0.5,65536,1000,621.5,0.0,378.5,0.6214999999999999,59922.0,97.38126639805097,166.66867065429688,3120.878173828125,0.0017632663379046737,0.9899207064154322,0.132585798950429,10343.997415144504
d1_L1_cm4x,range,D1-C2,4,128,1,128000,all,0.2,0.1,4.0,0.5,65536,1000,"[576, 667]","[0, 0]","[333, 424]","[0.576, 0.667]","[56151, 63693]","[84.1844, 110.578]",166.66867065429688,3120.878173828125,"[0.00160443, 0.0019221]","[0.98722, 0.992621]","[0.129349, 0.135823]","[8899.13, 11788.9]"
d1_L1_bigdata,0,D1-C2,4,128,1,128000,all,0.2,0.1,4.0,0.5,65536,1000,567,0,433,0.567,65356,115.2663139329806,150.0670166015625,3108.85205078125,0.002383597051082657,0.9990485621950268,0.10916875131405618,13146.837267628998
d1_L1_bigdata,1,D1-C2,4,128,1,128000,all,0.2,0.1,4.0,0.5,65536,1000,581,0,419,0.581,65819,113.28571428571429,178.90878295898438,3221.55615234375,0.002373307245691483,0.9985566840933009,0.1127731702243309,11978.428775189002
d1_L1_bigdata,mean,D1-C2,4,128,1,128000,all,0.2,0.1,4.0,0.5,65536,1000,574.0,0.0,426.0,0.574,65587.5,114.27601410934744,150.0670166015625,3108.85205078125,0.00237845214838707,0.9988026231441638,0.11097096076919354,12562.633021409001
d1_L1_bigdata,range,D1-C2,4,128,1,128000,all,0.2,0.1,4.0,0.5,65536,1000,"[567, 581]","[0, 0]","[419, 433]","[0.567, 0.581]","[65356, 65819]","[113.286, 115.266]",150.0670166015625,3108.85205078125,"[0.00237331, 0.0023836]","[0.998557, 0.999049]","[0.109169, 0.112773]","[11978.4, 13146.8]"
d1_shape8x92,0,D1-C3,8,92,1,2000,all,0.2,0.1,4.0,0.5,67712,1000,304,1,695,0.304,97483,320.66776315789474,263.7147521972656,7112.52734375,0.004376571561599417,0.9913470566402964,0.1817289681223982,189.98157726000005
d1_shape8x92,1,D1-C3,8,92,1,2000,all,0.2,0.1,4.0,0.5,67712,1000,270,1,729,0.27,100652,372.7851851851852,268.0774841308594,5988.14013671875,0.006563856572328345,0.998575764662638,0.14207926264198958,265.54206705100006
d1_shape8x92,2,D1-C3,8,92,1,2000,all,0.2,0.1,4.0,0.5,67712,1000,319,0,681,0.319,94765,297.0689655172414,228.626953125,6600.59033203125,0.006672322492375084,0.9964507191461738,0.17252252882889416,239.84725777100002
d1_shape8x92,mean,D1-C3,8,92,1,2000,all,0.2,0.1,4.0,0.5,67712,1000,297.6666666666667,0.6666666666666666,701.6666666666666,0.2976666666666667,97633.33333333333,330.1739712867738,263.7147521972656,7112.52734375,0.005870916875434282,0.9954578468163694,0.16544358653109398,231.79030069400005
d1_shape8x92,range,D1-C3,8,92,1,2000,all,0.2,0.1,4.0,0.5,67712,1000,"[270, 319]","[0, 1]","[681, 729]","[0.27, 0.319]","[94765, 100652]","[297.069, 372.785]",263.7147521972656,7112.52734375,"[0.00437657, 0.00667232]","[0.991347, 0.998576]","[0.142079, 0.181729]","[189.982, 265.542]"
d1_shape16x64,0,D1-C3,16,64,1,2000,all,0.2,0.1,4.0,0.5,65536,1000,99,0,901,0.099,116903,1180.8383838383838,314.5656433105469,8518.5771484375,0.005083773369955305,0.9951584518924563,0.18063175022228659,298.29425775299995
d1_shape16x64,1,D1-C3,16,64,1,2000,all,0.2,0.1,4.0,0.5,65536,1000,59,1,940,0.059,119961,2033.2372881355932,253.41668701171875,6619.9091796875,0.008311353874885324,0.999412428245254,0.12933139749327766,389.20876903699985
d1_shape16x64,2,D1-C3,16,64,1,2000,all,0.2,0.1,4.0,0.5,65536,1000,22,0,978,0.022,123005,5591.136363636364,21.272727966308594,10108.783203125,0.0048973399423941,0.9890737037072942,0.20671301484444296,226.694538577
