config,seed,study,input,effective_n_loops,eval_n_loops_flag,deduce_passes,threshold,cls_threshold,augment,n_eval,correct,wrong,timeouts,accuracy,total_calls,calls_per_solve,avg_resets,unsound_rate,conflict_precision,conflict_recall
o1_xfer_Lt1_Le2,0,O1-transfer,d1_L1,2,2,1,0.1,0.6,True,56,0,0,56,0.0,7000,,11806.982142857143,0.028931120000872994,0.9772940043043538,0.22207085545554428
o1_xfer_Lt1_Le2,1,O1-transfer,d1_L1,2,2,1,0.1,0.6,True,57,1,0,56,0.017543859649122806,7252,7252.0,13598.543859649122,0.024037514040991532,0.9541631189204531,0.2528500803222325
o1_xfer_Lt1_Le2,mean,O1-transfer,d1_L1,2,2,1,0.1,0.6,True,56,0.5,0.0,56.0,0.008771929824561403,7126.0,7252.0,12702.763001253134,0.026484317020932263,0.9657285616124034,0.2374604678888884
o1_xfer_Lt1_Le2,range,O1-transfer,d1_L1,2,2,1,0.1,0.6,True,56,"[0, 1]","[0, 0]","[56, 56]","[0, 0.0175439]","[7000, 7252]","[7252, 7252]","[11807, 13598.5]","[0.0240375, 0.0289311]","[0.954163, 0.977294]","[0.222071, 0.25285]"
o1_xfer_Lt1_Le4,0,O1-transfer,d1_L1,4,4,1,0.1,0.6,True,56,0,0,56,0.0,7000,,63177.42857142857,0.010607289550813916,0.9554604718683436,0.9909010909896764
o1_xfer_Lt1_Le4,1,O1-transfer,d1_L1,4,4,1,0.1,0.6,True,62,4,3,55,0.06451612903225806,7839,1959.75,45890.45161290323,0.032981084989656836,0.9995888293726239,0.765137233635045
o1_xfer_Lt1_Le4,mean,O1-transfer,d1_L1,4,4,1,0.1,0.6,True,56,2.0,1.5,55.5,0.03225806451612903,7419.5,1959.75,54533.940092165896,0.021794187270235375,0.9775246506204838,0.8780191623123608
o1_xfer_Lt1_Le4,range,O1-transfer,d1_L1,4,4,1,0.1,0.6,True,56,"[0, 4]","[0, 3]","[55, 56]","[0, 0.0645161]","[7000, 7839]","[1959.75, 1959.75]","[45890.5, 63177.4]","[0.0106073, 0.0329811]","[0.95546, 0.999589]","[0.765137, 0.990901]"
o1_xfer_Lt1_Le8,0,O1-transfer,d1_L1,8,8,1,0.1,0.6,True,56,0,0,56,0.0,7000,,64000.0,0.10947636100213569,1.0,1.0
o1_xfer_Lt1_Le8,1,O1-transfer,d1_L1,8,8,1,0.1,0.6,True,56,0,0,56,0.0,7000,,64000.0,0.09256273156163092,0.999986328125,1.0
o1_xfer_Lt1_Le8,mean,O1-transfer,d1_L1,8,8,1,0.1,0.6,True,56,0.0,0.0,56.0,0.0,7000.0,,64000.0,0.10101954628188331,0.9999931640624999,1.0
o1_xfer_Lt1_Le8,range,O1-transfer,d1_L1,8,8,1,0.1,0.6,True,56,"[0, 0]","[0, 0]","[56, 56]","[0, 0]","[7000, 7000]",,"[64000, 64000]","[0.0925627, 0.109476]","[0.999986, 1]","[1, 1]"
o1_xfer_Lt1_Le16,0,O1-transfer,d1_L1,16,16,1,0.1,0.6,True,56,0,0,56,0.0,7000,,64000.0,0.10994714983313615,1.0,1.0
