config,passes_label,accuracy,wrong,total_calls,calls_per_solve,avg_resets,unsound_rate
o1_scale_L16,"baseline (1 pass, native L16)",0.995,0.0,2232.0,11.21608040201005,661.8025,0.008241745421128401
o3_d2,2 passes,1.0,0.0,2595.0,12.975000000000001,388.0575,0.012996228735942177
o3_d4,4 passes,1.0,0.0,4364.0,21.82,306.63750000000005,0.019502324277167096
o3_fix,fixpoint (cap 16),0.99,1.5,11496.0,57.94719791852665,171.765,0.034572772813317956
o3_d4_noaug,"4 passes, no aug (control)",0.995,0.0,6040.0,30.35175879396985,424.305,0.015377990253324477
